,Feature,mean_score
50,maxdpdlast6m_474P,549.9123109681502
176,mean_firstnonzeroinstldate_307D,548.3357136117954
777,max_relationshiptoclient_642T_FRIEND,544.1203126183622
766,max_relationshiptoclient_415T_FRIEND,544.1203126183622
153,sum_credamount_590A,541.9917967217907
552,lastrejectreason_759M_P99_56_166,536.7562195554937
15,credamount_770A,530.7006925208507
102,pmtscount_423L,530.1293611395313
666,max_rejectreasonclient_4145042M_P94_109_143,529.3360783857006
628,max_isbidproduct_390L_False,524.5682093047214
685,max_conts_type_509L_PRIMARY_MOBILE,522.0681384480405
736,max_empl_industry_691L_nan,504.4309767230497
76,numinstunpaidmaxest_4493212L,499.2198050888854
74,numinsttopaygrest_4493213L,496.4137005558073
5,avgdbddpdlast3m_4187120P,492.86057516755994
73,numinsttopaygr_769L,486.667673676453
134,sum_credacc_actualbalance_314A,480.75974665072545
75,numinstunpaidmax_3546851L,477.36642395671265
711,max_empl_employedtotal_800L_nan,476.64195326145807
84,price_1097A,474.76309096846535
397,ratio_queries_30,467.01984907307116
644,max_postype_4733339M_P67_102_161,466.88629751669043
728,max_empl_industry_691L_OTHER,460.44870010865566
612,max_education_1138M_P33_146_175,458.2501484734087
130,mean_creationdate_885D,445.45959998822525
551,lastrejectreason_759M_P94_109_143,444.9758419797317
44,maxdebt4_972A,444.01415766746055
588,education_1103M_39a0853f,438.1796179907829
238,mean_amount_4527230A,435.45445184949165
107,thirdquarter_1082L,433.6443228520286
184,sum_mainoccupationinc_437A,428.9322853938738
256,sum_pmtamount_36A,417.5612296051551
46,maxdpdinstldate_3546855D,415.8348786740321
710,max_empl_employedtotal_800L_MORE_ONE,405.1106481142356
589,education_1103M_6b2ae0fa,398.13408167130353
1192,min_purposeofcred_874M_5065c2b8,394.7669239814236
1002,max_description_351M_a55475b1,389.8901154836186
585,description_5085714M_2fc785b2,386.574520968228
165,min_dtlastpmt_581D,376.8385779147577
393,mean_pmts_year_507T,373.3249870730818
88,totaldebt_9A,368.19995039438265
920,max_contractst_964M_a55475b1,367.8393164116058
16,currdebt_22A,367.58530733462646
174,min_firstnonzeroinstldate_307D,366.23932382310556
814,max_classificationofcontr_13M_ea6782cc,360.04547714424086
888,max_contractst_545M_a55475b1,359.177886336861
586,description_5085714M_a55475b1,358.9533226344429
1181,max_purposeofcred_426M_a55475b1,353.05486887281376
376,max_pmts_dpd_303P,348.4245109167524
1201,min_purposeofcred_874M_nan,347.46340082758365
815,max_classificationofcontr_13M_nan,347.46340082758365
1164,max_financialinstitution_591M_nan,347.46340082758365
1185,max_purposeofcred_426M_nan,347.46340082758365
1215,max_purposeofcred_874M_nan,347.46340082758365
1179,min_purposeofcred_426M_nan,347.46340082758365
895,max_contractst_545M_nan,347.46340082758365
1001,max_contractst_964M_nan,347.46340082758365
886,max_classificationofcontr_400M_nan,347.46340082758365
1109,max_financialinstitution_382M_nan,347.46340082758365
1004,max_description_351M_nan,347.46340082758365
108,count_num_group1,345.424690109386
25,eir_270L,345.010354189233
30,interestrate_311L,345.010354189233
651,max_rejectreason_755M_P45_84_106,344.9029416152799
1171,min_purposeofcred_426M_60c73645,334.2087400174558
41,maxdbddpdlast1m_3658939P,333.52345572226176
392,min_pmts_year_507T,333.5017364108164
199,sum_revolvingaccount_394A,326.2497656272777
175,max_firstnonzeroinstldate_307D,324.76770285032427
158,min_dateactivated_425D,322.15336940371816
27,firstdatedue_489D,316.457091676071
118,min_approvaldate_319D,316.0312286811451
344,min_refreshdate_3813885D,312.25847425855386
89,totalsettled_863A,298.76359644968005
221,count_persontype_1072L,298.5453693379772
230,count_role_1084L,298.5453693379772
691,max_credacc_cards_status_52L_CANCELLED,297.5930534168678
128,min_creationdate_885D,297.516448804446
624,max_inittransactioncode_279L_POS,296.2513672875449
255,max_pmtamount_36A,293.87593894063605
606,max_credtype_587L_COL,292.09344964541754
192,min_pmtnum_8L,290.6606209801042
200,min_tenor_203L,290.6606209801042
252,count_num_group1_tax_registry_c,289.79066064459516
600,max_credacc_status_367L_CL,288.7716013668152
673,max_status_219L_L,286.7815334143951
87,sumoutstandtotalest_4493215A,286.28269945428053
20,datelastunpaid_3546854D,280.6589048621968
750,max_incometype_1044T_EMPLOYED,275.44311038249685
698,max_contaddr_smempladdr_334L_False,274.7116263318626
222,sum_persontype_1072L,274.30674069234743
86,sumoutstandtotal_3546847A,274.08659337325787
61,numinstls_657L,273.44318502132694
170,mean_dtlastpmtallstes_3545839D,271.622253541771
740,max_familystate_447L_SINGLE,267.747186831103
865,max_classificationofcontr_400M_ea6782cc,259.49277403648637
657,max_rejectreason_755M_P99_56_166,258.2351714360125
254,mean_pmtamount_36A,253.30707539333673
333,mean_overdueamountmaxdateyear_2T,251.83854747402393
676,max_status_219L_Q,251.00950209938463
1208,max_purposeofcred_874M_a55475b1,249.7329140774364
783,max_relationshiptoclient_642T_SIBLING,245.43253490732462
772,max_relationshiptoclient_415T_SIBLING,245.43253490732462
49,maxdpdlast3m_392P,244.34978662357832
133,mean_credacc_actualbalance_314A,241.16365689382042
17,currdebtcredtyperange_828A,240.0252369608305
227,sum_persontype_792L,239.58876636987748
1119,max_financialinstitution_591M_b619fa46,239.53029718146976
33,lastapplicationdate_877D,239.21578637935468
129,max_creationdate_885D,238.89713487671236
189,max_outstandingdebt_522A,238.20625078548534
132,max_credacc_actualbalance_314A,238.13711933805092
332,min_overdueamountmaxdateyear_2T,232.79022582095968
761,max_language1_981M_P209_127_106,231.65221532643926
155,max_currdebt_94A,229.76976738145294
373,max_pmts_dpd_1073P,225.4268972579777
152,mean_credamount_590A,222.8348997292071
217,sum_personindex_1023L,215.38448384716384
131,min_credacc_actualbalance_314A,212.70319761920905
191,sum_outstandingdebt_522A,211.46574013288188
239,min_amount_4527230A,209.35568769683027
224,mean_persontype_792L,208.07471305607794
137,mean_credacc_credlmt_575A,204.46888762581722
708,max_empl_employedtotal_800L_LESS_ONE,202.48181312130845
800,max_type_25L_PRIMARY_MOBILE,200.45856687428747
32,lastactivateddate_801D,198.8520144741616
1003,max_description_351M_f8e51f8d,197.57940607989312
390,mean_pmts_year_1139T,197.25367526094885
157,sum_currdebt_94A,197.2158800495974
216,count_personindex_1023L,194.80237167776
226,count_persontype_792L,194.80237167776
214,mean_personindex_1023L,194.8023716775012
228,count_relationshiptoclient_415T,194.8023716775012
213,max_personindex_1023L,194.8023716775012
229,count_relationshiptoclient_642T,193.2995372454165
159,max_dateactivated_425D,188.1861598755854
