,Feature,Score
698,max_contaddr_smempladdr_334L_False,139.74972028985405
685,max_conts_type_509L_PRIMARY_MOBILE,139.46651449824347
628,max_isbidproduct_390L_False,139.25623211936878
103,pmtssum_45A,139.01367263676897
168,min_dtlastpmtallstes_3545839D,136.34635604042631
22,disbursedcredamount_1113A,136.1314986427336
397,ratio_queries_30,133.16031070414778
134,sum_credacc_actualbalance_314A,128.54576600290227
5,avgdbddpdlast3m_4187120P,123.36922728102007
15,credamount_770A,117.64916104616881
666,max_rejectreasonclient_4145042M_P94_109_143,115.33320558384611
644,max_postype_4733339M_P67_102_161,113.50261896267634
75,numinstunpaidmax_3546851L,112.75509359094922
76,numinstunpaidmaxest_4493212L,111.92675466276906
551,lastrejectreason_759M_P94_109_143,111.49363846474144
345,mean_refreshdate_3813885D,110.69577273285469
73,numinsttopaygr_769L,109.4732223906841
238,mean_amount_4527230A,108.5477072527386
102,pmtscount_423L,108.37251703620406
44,maxdebt4_972A,108.1845871546536
84,price_1097A,106.26832365175719
153,sum_credamount_590A,106.096661620268
612,max_education_1138M_P33_146_175,105.62149710326031
728,max_empl_industry_691L_OTHER,104.66517074415374
736,max_empl_industry_691L_nan,104.0778468909085
74,numinsttopaygrest_4493213L,103.73778597208548
588,education_1103M_39a0853f,103.70319842739632
176,mean_firstnonzeroinstldate_307D,102.31568620416185
1002,max_description_351M_a55475b1,100.79198093146422
1192,min_purposeofcred_874M_5065c2b8,98.71136125738855
376,max_pmts_dpd_303P,98.12367544575525
585,description_5085714M_2fc785b2,98.05071590851051
710,max_empl_employedtotal_800L_MORE_ONE,96.87772597390317
711,max_empl_employedtotal_800L_nan,96.39065787679388
1171,min_purposeofcred_426M_60c73645,94.57637154931817
888,max_contractst_545M_a55475b1,94.54078167008768
256,sum_pmtamount_36A,94.4755319537171
920,max_contractst_964M_a55475b1,94.38847099302778
1181,max_purposeofcred_426M_a55475b1,92.85485867743338
814,max_classificationofcontr_13M_ea6782cc,92.75339805798701
1201,min_purposeofcred_874M_nan,92.48441773043157
1215,max_purposeofcred_874M_nan,92.48441773043157
895,max_contractst_545M_nan,92.48441773043157
1179,min_purposeofcred_426M_nan,92.48441773043157
1185,max_purposeofcred_426M_nan,92.48441773043157
1164,max_financialinstitution_591M_nan,92.48441773043157
1109,max_financialinstitution_382M_nan,92.48441773043157
1001,max_contractst_964M_nan,92.48441773043157
886,max_classificationofcontr_400M_nan,92.48441773043157
815,max_classificationofcontr_13M_nan,92.48441773043157
1004,max_description_351M_nan,92.48441773043157
586,description_5085714M_a55475b1,90.13766211818506
88,totaldebt_9A,89.72226808682782
16,currdebt_22A,89.41922240920543
25,eir_270L,89.39961312440133
30,interestrate_311L,89.39961312440133
165,min_dtlastpmt_581D,89.1078979225474
41,maxdbddpdlast1m_3658939P,88.98879000833341
107,thirdquarter_1082L,88.94066167360114
589,education_1103M_6b2ae0fa,88.68051354604687
184,sum_mainoccupationinc_437A,88.3223534847221
46,maxdpdinstldate_3546855D,88.31352052261288
130,mean_creationdate_885D,86.10788951419153
392,min_pmts_year_507T,84.75999212635533
393,mean_pmts_year_507T,84.55761961968608
740,max_familystate_447L_SINGLE,82.61972541894293
108,count_num_group1,82.35819236553105
676,max_status_219L_Q,81.53853459071257
89,totalsettled_863A,80.30561450715467
691,max_credacc_cards_status_52L_CANCELLED,79.29577159734865
199,sum_revolvingaccount_394A,76.9649704661209
600,max_credacc_status_367L_CL,76.49252273421435
49,maxdpdlast3m_392P,76.26922618205204
255,max_pmtamount_36A,73.50899029845154
651,max_rejectreason_755M_P45_84_106,72.30390591525217
192,min_pmtnum_8L,71.35734814954397
200,min_tenor_203L,71.35734814954397
174,min_firstnonzeroinstldate_307D,71.04218394793695
865,max_classificationofcontr_400M_ea6782cc,69.9287826713217
32,lastactivateddate_801D,68.99352535973082
133,mean_credacc_actualbalance_314A,68.78432840032225
624,max_inittransactioncode_279L_POS,67.7155507196808
333,mean_overdueamountmaxdateyear_2T,67.51850354077473
132,max_credacc_actualbalance_314A,65.34305219668103
159,max_dateactivated_425D,64.54789855194274
86,sumoutstandtotal_3546847A,64.35218207580957
170,mean_dtlastpmtallstes_3545839D,64.07127844411065
1208,max_purposeofcred_874M_a55475b1,64.02912590461375
377,min_pmts_month_158T,63.80141962529093
87,sumoutstandtotalest_4493215A,63.44132496453455
657,max_rejectreason_755M_P99_56_166,63.26334329837201
254,mean_pmtamount_36A,62.849945796411475
131,min_credacc_actualbalance_314A,62.29729219155558
61,numinstls_657L,62.197818492840256
221,count_persontype_1072L,61.81622421066147
230,count_role_1084L,61.81622421066147
189,max_outstandingdebt_522A,61.66117753529444
606,max_credtype_587L_COL,60.983277344356864
158,min_dateactivated_425D,60.36271184958076
1119,max_financialinstitution_591M_b619fa46,60.10211194431594
27,firstdatedue_489D,59.67211995734666
750,max_incometype_1044T_EMPLOYED,58.729390539018546
761,max_language1_981M_P209_127_106,58.22868969117919
222,sum_persontype_1072L,58.15717825790271
118,min_approvaldate_319D,57.7887422125402
20,datelastunpaid_3546854D,57.71689176707748
128,min_creationdate_885D,57.22341950603494
155,max_currdebt_94A,56.41334077371039
137,mean_credacc_credlmt_575A,54.77380601246367
175,max_firstnonzeroinstldate_307D,54.45186989510565
577,lastst_736L_Q,53.84449049164758
579,lastst_736L_S,53.72843318569898
17,currdebtcredtyperange_828A,53.39497292950515
332,min_overdueamountmaxdateyear_2T,53.25664894510265
191,sum_outstandingdebt_522A,52.66164296365483
227,sum_persontype_792L,51.74159472258117
772,max_relationshiptoclient_415T_SIBLING,51.551422667398136
783,max_relationshiptoclient_642T_SIBLING,51.551422667398136
708,max_empl_employedtotal_800L_LESS_ONE,50.00242881566324
673,max_status_219L_L,49.527049221318315
380,min_pmts_month_706T,49.344070729572756
432,lastapprcommoditycat_1041M_P159_130_59,48.54408259545505
217,sum_personindex_1023L,48.20818725949593
773,max_relationshiptoclient_415T_SPOUSE,47.96529991908701
784,max_relationshiptoclient_642T_SPOUSE,47.96529991908701
252,count_num_group1_tax_registry_c,46.66639537919517
35,lastapprdate_640D,45.950114651224744
621,max_familystate_726L_nan,45.92902733987895
157,sum_currdebt_94A,45.86435451293729
323,mean_numberofoverdueinstlmax_1039L,45.074795505569654
604,max_credacc_status_367L_nan,43.76743174554078
239,min_amount_4527230A,43.51672792022247
33,lastapplicationdate_877D,43.19293821575513
129,max_creationdate_885D,43.04573355378663
1021,max_financialinstitution_382M_a55475b1,42.961758358609075
258,min_processingdate_168D,42.905387375173596
154,min_currdebt_94A,42.63419991188636
695,max_credacc_cards_status_52L_nan,42.334261480419116
336,mean_overdueamountmaxdateyear_994T,42.232123040466014
224,mean_persontype_792L,42.06402920362652
335,min_overdueamountmaxdateyear_994T,41.93193701859073
325,sum_numberofoverdueinstlmax_1039L,41.87500300474724
216,count_personindex_1023L,41.37406821322784
226,count_persontype_792L,41.37406821322784
213,max_personindex_1023L,41.37406821313267
228,count_relationshiptoclient_415T,41.37406821313267
214,mean_personindex_1023L,41.37406821313267
667,max_rejectreasonclient_4145042M_a55475b1,41.17622991114227
674,max_status_219L_N,40.69231074959502
286,mean_dpdmax_139P,40.6605529030683
253,min_pmtamount_36A,40.65094794515431
288,sum_dpdmax_139P,40.59009876419478
117,max_approvaldate_319D,40.584403574887055
229,count_relationshiptoclient_642T,40.50506384703505
296,mean_lastupdate_388D,40.38639602759896
101,pmtaverage_4527227A,40.24611307700781
800,max_type_25L_PRIMARY_MOBILE,40.11855035962042
775,max_relationshiptoclient_642T_CHILD,39.7172979046668
764,max_relationshiptoclient_415T_CHILD,39.7172979046668
297,min_lastupdate_388D,38.824040338145124
334,max_overdueamountmaxdateyear_2T,38.43943625327996
275,min_dateofrealrepmt_138D,37.897572750714545
274,mean_dateofrealrepmt_138D,37.52327852597279
324,max_numberofoverdueinstlmax_1039L,37.227784664345606
559,lastrejectreasonclient_4145040M_P30_86_84,37.091341944397314
152,mean_credamount_590A,36.650619561227124
564,lastrejectreasonclient_4145040M_P64_121_167,36.17634644858759
135,min_credacc_credlmt_575A,36.10878796746633
746,max_housetype_905L_OWNED,36.032998113044314
373,max_pmts_dpd_1073P,35.643115968934154
322,min_numberofoverdueinstlmax_1039L,35.60077048961448
958,max_contractst_964M_cb5e0ca2,35.565908649242125
287,max_dpdmax_139P,35.35714985012806
379,max_pmts_month_158T,35.171720552144265
574,lastst_736L_L,34.650834570427605
382,max_pmts_month_706T,34.64013432564894
658,max_rejectreason_755M_a55475b1,34.412407913780584
390,mean_pmts_year_1139T,33.989471032701076
451,lastapprcommoditycat_1041M_P52_56_90,33.946486255041506
810,max_empls_economicalst_849M_nan,33.695169784354384
642,max_postype_4733339M_P46_145_78,33.64284524667193
