,Feature,Score
29,inittransactionamount_650A,2.4539121845529275
876,max_classificationofcontr_400M_f920c170,2.4378729957854794
146,sum_credacc_minhisbal_90A,2.4237584437886803
273,max_dateofcredstart_739D,2.4198753901753545
524,lastcancelreason_561M_P85_114_140,2.4165683495504404
611,max_education_1138M_P17_36_170,2.4160468845762266
120,min_byoccupationinc_3656910L,2.401510595576791
493,lastcancelreason_561M_P19_105_83,2.389185783066973
112,sum_actualdpd_943P,2.3823932774550616
147,min_credacc_transactions_402L,2.3424085969396056
405,credtype_322L_REL,2.321545170216244
687,max_conts_type_509L_WHATSAPP,2.310311183337051
1025,max_financialinstitution_382M_a8468729,2.310311183337051
450,lastapprcommoditycat_1041M_P49_162_170,2.310311183337051
892,max_contractst_545M_e2e7d341,2.306930529405562
1157,max_financialinstitution_591M_f4518152,2.2731979572240646
623,max_inittransactioncode_279L_NDF,2.2654342855348037
329,min_overdueamountmaxdatemonth_365T,2.1978612830289497
267,max_dateofcredend_353D,2.195345902993324
404,credtype_322L_COL,2.173632919120654
1210,max_purposeofcred_874M_d11871e7,2.161662840347693
1042,max_financialinstitution_382M_c1525162,2.1432604210454698
991,max_contractst_964M_f7394eb0,2.1430671325523303
234,max_openingdate_857D,2.1411460383711924
119,mean_approvaldate_319D,2.1131636628574006
632,min_isdebitcard_527L_True,2.0954448764676448
663,max_rejectreasonclient_4145042M_P5_143_178,2.0927799399848417
125,max_childnum_21L,2.0716218298519222
114,max_annuity_853A,2.0587384307528613
1088,max_financialinstitution_382M_edd4a280,2.04942616063617
641,max_postype_4733339M_P217_110_186,2.041918337427015
634,max_isdebitcard_527L_False,2.0265108675003214
671,max_status_219L_H,2.016939210891105
320,max_numberofoutstandinstls_59L,1.9909769841188296
383,min_pmts_overdue_1140A,1.951482018900913
1000,max_contractst_964M_fec76166,1.908621631814093
149,mean_credacc_transactions_402L,1.8920191861255533
911,max_contractst_964M_8f3a197f,1.8814066761941897
452,lastapprcommoditycat_1041M_P53_45_92,1.880218642804383
111,mean_actualdpd_943P,1.8491841378612053
1203,max_purposeofcred_874M_60c73645,1.8486765527431077
722,max_empl_industry_691L_INSURANCE,1.8191322187761685
1214,max_purposeofcred_874M_ee7d1eb8,1.815946783640701
354,mean_totalamount_6A,1.8066293916806202
693,max_credacc_cards_status_52L_RENEWED,1.8052215513138834
365,min_totaloutstanddebtvalue_39A,1.7945635176112378
140,max_credacc_maxhisbal_375A,1.791502111911471
511,lastcancelreason_561M_P57_100_127,1.7831225771495205
716,max_empl_industry_691L_CHARITY_RELIGIOUS,1.7831225771495205
90,validfrom_1069D,1.756251166635151
467,lastcancelreason_561M_P120_0_10,1.7242336733508228
307,mean_numberofcontrsvalue_258L,1.7000712114629142
540,lastrejectreason_759M_P198_131_9,1.69231377970807
110,max_actualdpd_943P,1.6821663692158197
547,lastrejectreason_759M_P5_143_178,1.6782597842155216
889,max_contractst_545M_b919198c,1.6782597842155216
308,max_numberofcontrsvalue_258L,1.6713889587126305
681,max_conts_type_509L_EMPLOYMENT_PHONE,1.6649889105385962
204,count_num_group2,1.6574396120414512
1217,min_subjectroles_name_541M_15f04f45,1.6065114874532944
537,lastrejectreason_759M_P129_162_80,1.586371495684807
306,min_numberofcontrsvalue_258L,1.57408794713361
180,sum_isdebitcard_527L,1.5493478368412843
474,lastcancelreason_561M_P145_10_63,1.5377580522845342
771,max_relationshiptoclient_415T_PARENT,1.5347538301757473
782,max_relationshiptoclient_642T_PARENT,1.5347538301757473
484,lastcancelreason_561M_P183_71_60,1.5237699584524147
166,max_dtlastpmt_581D,1.5194138362627887
720,max_empl_industry_691L_GOVERNMENT,1.5188886766419116
105,responsedate_4917613D,1.4951229361497158
124,min_childnum_21L,1.492810225795101
669,max_status_219L_A,1.4719115212228082
724,max_empl_industry_691L_LAWYER,1.4673800134592683
798,max_type_25L_HOME_PHONE,1.4551497682315613
539,lastrejectreason_759M_P196_88_176,1.444999486312364
947,max_contractst_964M_c288ac5d,1.444121526678155
1040,max_financialinstitution_382M_bbb5839e,1.4112334344524924
1122,max_financialinstitution_591M_bbb5839e,1.4112334344524924
1132,max_financialinstitution_591M_d1c4d78f,1.4112334344524924
602,max_credacc_status_367L_PCL,1.405617053850034
546,lastrejectreason_759M_P53_10_15,1.38402224551809
1066,max_financialinstitution_382M_dbddb6bb,1.38402224551809
727,max_empl_industry_691L_MINING,1.3607471682296448
596,requesttype_4525192L_SOCIAL_6,1.3166549314338745
556,lastrejectreasonclient_4145040M_P19_25_34,1.2990210448134223
435,lastapprcommoditycat_1041M_P177_46_174,1.2888065541439107
682,max_conts_type_509L_HOME_PHONE,1.284810214639549
703,max_education_927M_P17_36_170,1.1989260004880018
672,max_status_219L_K,1.1614839014037321
723,max_empl_industry_691L_IT,1.1614258059518938
127,sum_childnum_21L,1.1452807522874038
852,max_classificationofcontr_400M_d7416962,1.1287034768424304
483,lastcancelreason_561M_P180_60_137,1.1122668211492133
735,max_empl_industry_691L_WELNESS,1.1119661206123486
507,lastcancelreason_561M_P46_50_166,1.108576412441269
92,contractssum_5085716L,1.0929867107360796
990,max_contractst_964M_f7149e7d,1.0913576386257586
544,lastrejectreason_759M_P48_22_32,1.0913554994051733
747,max_housetype_905L_PARENTAL,1.0821052388749788
160,mean_dateactivated_425D,1.0668568730249544
126,mean_childnum_21L,1.066050104660088
638,max_postype_4733339M_P149_40_170,1.0631684646167738
235,mean_openingdate_857D,1.0603902503643632
270,max_dateofcredstart_181D,1.0528133371174258
1227,max_subjectroles_name_541M_daf49a8a,1.041877336457291
148,max_credacc_transactions_402L,1.024767276570095
418,lastapprcommoditycat_1041M_P110_120_162,0.9978177025680713
1099,max_financialinstitution_382M_f4518152,0.9902131135506715
741,max_familystate_447L_WIDOWED,0.9821959337219661
262,mean_dateofcredend_289D,0.9794851078539979
924,max_contractst_964M_ac175213,0.9524813272404177
531,lastcancelreason_561M_P98_38_170,0.929395879626942
639,max_postype_4733339M_P169_115_83,0.9287569885372972
1156,max_financialinstitution_591M_f27ed340,0.9262857403100484
388,max_pmts_overdue_1152A,0.9082969756377941
478,lastcancelreason_561M_P163_9_145,0.9044447463568213
444,lastapprcommoditycat_1041M_P21_123_87,0.8998460186875774
494,lastcancelreason_561M_P19_25_34,0.8848694585256713
631,min_isdebitcard_527L_False,0.8710017490968105
510,lastcancelreason_561M_P55_81_55,0.8684882612607927
1186,min_purposeofcred_874M_164ee705,0.8513313390164573
385,max_pmts_overdue_1140A,0.8473171736869044
1010,max_financialinstitution_382M_P150_136_157,0.8342184541615938
1232,min_subjectroles_name_838M_P28_48_88,0.8252304749147035
321,sum_numberofoutstandinstls_59L,0.8190167755363541
420,lastapprcommoditycat_1041M_P121_6_80,0.8049105657601869
305,max_nominalrate_281L,0.8032743051811377
968,max_contractst_964M_dc23998c,0.7930847631819686
858,max_classificationofcontr_400M_e2453741,0.7851404062527587
1133,max_financialinstitution_591M_d35b8336,0.7725393554533964
445,lastapprcommoditycat_1041M_P21_79_33,0.7722533369437131
637,max_postype_4733339M_P140_48_169,0.768781234031628
355,max_totalamount_6A,0.7620726879004895
921,max_contractst_964M_a72cf06d,0.7614606813903795
295,max_lastupdate_1112D,0.7541299312671405
293,mean_lastupdate_1112D,0.7462006451691239
566,lastrejectreasonclient_4145040M_P84_14_61,0.7286660720286234
318,min_numberofoutstandinstls_59L,0.7052295742018664
303,mean_nominalrate_281L,0.6961392664678643
508,lastcancelreason_561M_P52_67_90,0.693552457771453
1198,min_purposeofcred_874M_96a8fdfe,0.6924712239287436
523,lastcancelreason_561M_P84_14_61,0.6870305805597199
789,max_role_1084L_EM,0.6695710069253993
319,mean_numberofoutstandinstls_59L,0.6644609534204451
753,max_incometype_1044T_HANDICAPPED_3,0.6601797041403346
343,max_periodicityofpmts_837L,0.6564414643476326
519,lastcancelreason_561M_P69_72_116,0.6539945497280365
442,lastapprcommoditycat_1041M_P201_79_148,0.6445709705283931
863,max_classificationofcontr_400M_e6e56e83,0.6379110436317577
430,lastapprcommoditycat_1041M_P156_122_160,0.6379110436317577
1044,max_financialinstitution_382M_c278975a,0.6295774185556139
1013,max_financialinstitution_382M_P51_123_23,0.6295774185556139
918,max_contractst_964M_a3386307,0.6295774185556139
1028,max_financialinstitution_382M_a9d35603,0.6215526682421353
358,max_totalamount_996A,0.6015015615577096
780,max_relationshiptoclient_642T_OTHER,0.5914445660740932
769,max_relationshiptoclient_415T_OTHER,0.5914445660740932
1126,max_financialinstitution_591M_c1525162,0.5888361830618947
366,mean_totaloutstanddebtvalue_39A,0.5852569055429727
923,max_contractst_964M_aa0592d0,0.5724780732698391
648,max_rejectreason_755M_P196_88_176,0.5724780732698391
1095,max_financialinstitution_382M_f0a813a9,0.5635572676215203
263,min_dateofcredend_289D,0.5547593729096294
1172,min_purposeofcred_426M_6ec903ee,0.5397621192782615
455,lastapprcommoditycat_1041M_P75_42_174,0.5397621192782615
609,max_education_1138M_P106_81_188,0.536433040768245
1144,max_financialinstitution_591M_dcf5a604,0.5256128816258789
1100,max_financialinstitution_382M_f4b22787,0.5070465194052747
433,lastapprcommoditycat_1041M_P160_128_10,0.501092487813603
495,lastcancelreason_561M_P201_100_144,0.49068885226145603
1009,max_financialinstitution_382M_P133_127_114,0.49068885226145603
1058,max_financialinstitution_382M_d35b8336,0.4817906421220129
877,max_classificationofcontr_400M_fa2a66b3,0.4658417173479519
464,lastcancelreason_561M_P118_30_169,0.4579737835555692
1007,max_financialinstitution_382M_Home Credit,0.4579737835555692
327,mean_overdueamountmaxdatemonth_284T,0.43966373145630344
437,lastapprcommoditycat_1041M_P184_3_97,0.43895698538984196
592,education_1103M_c8e1a1d0,0.43659785330279766
536,lastrejectreason_759M_P121_60_164,0.4362754775542693
342,mean_periodicityofpmts_837L,0.4266064335865733
940,max_contractst_964M_ba680094,0.4252590689538942
470,lastcancelreason_561M_P128_12_74,0.40890184444034317
584,twobodfilling_608L_nan,0.40890184444034317
424,lastapprcommoditycat_1041M_P137_157_60,0.40890184444034317
541,lastrejectreason_759M_P19_25_34,0.40890184444034317
346,max_refreshdate_3813885D,0.39329791098694533
801,max_type_25L_SECONDARY_MOBILE,0.3927944207196924
1081,max_financialinstitution_382M_eb725dc9,0.39254470845068823
280,sum_debtoutstand_525A,0.3917552041290685
109,min_actualdpd_943P,0.3908488733530723
277,min_debtoutstand_525A,0.3908340906359515
279,max_debtoutstand_525A,0.3908340906359515
278,mean_debtoutstand_525A,0.3908340906359515
718,max_empl_industry_691L_FINANCE,0.38666949066660755
1176,min_purposeofcred_426M_9e302002,0.37618766098421424
142,sum_credacc_maxhisbal_375A,0.37611365051976287
353,min_totalamount_6A,0.3674039919908619
542,lastrejectreason_759M_P30_86_84,0.36125628563161566
490,lastcancelreason_561M_P198_14_171,0.35983070204019924
946,max_contractst_964M_c068287a,0.35983070204019924
481,lastcancelreason_561M_P175_4_106,0.3434738316179262
1158,max_financialinstitution_591M_f4b22787,0.3434738316179262
1169,min_purposeofcred_426M_44164129,0.3434738316179262
500,lastcancelreason_561M_P20_125_107,0.3374512070453925
880,max_classificationofcontr_400M_fb98f5e4,0.32711704971667865
1032,max_financialinstitution_382M_b0c676ae,0.31928578771338156
545,lastrejectreason_759M_P52_67_90,0.31895866766458514
466,lastcancelreason_561M_P11_56_131,0.3179659027765084
341,min_periodicityofpmts_837L,0.3113994601879633
526,lastcancelreason_561M_P8_141_180,0.31076035633573285
1086,max_financialinstitution_382M_ed1b653a,0.31076035633573285
465,lastcancelreason_561M_P11_156_146,0.31076035633573285
469,lastcancelreason_561M_P123_22_171,0.31076035633573285
486,lastcancelreason_561M_P187_10_172,0.31076035633573285
367,max_totaloutstanddebtvalue_39A,0.3078687685160439
613,max_education_1138M_P97_36_170,0.30755782604135373
643,max_postype_4733339M_P60_146_156,0.3025698890486965
496,lastcancelreason_561M_P203_135_156,0.30255955512148536
1155,max_financialinstitution_591M_f0a813a9,0.30255955512148536
729,max_empl_industry_691L_POST_TELCO,0.3003489075122555
1041,max_financialinstitution_382M_bf7a9f55,0.29969474713046423
1019,max_financialinstitution_382M_a4f0ab55,0.29440375147437325
1056,max_financialinstitution_382M_d31f6c4d,0.29440375147437325
440,lastapprcommoditycat_1041M_P193_109_73,0.29440375147437325
874,max_classificationofcontr_400M_f423c437,0.29440375147437325
1166,min_purposeofcred_426M_2162d1a4,0.29440375147437325
304,min_nominalrate_281L,0.28992275991482247
422,lastapprcommoditycat_1041M_P128_43_169,0.2896386990005102
473,lastcancelreason_561M_P141_135_146,0.2816192786591699
1074,max_financialinstitution_382M_e2a39b1a,0.2780472351318814
1187,min_purposeofcred_874M_2162d1a4,0.2780472351318814
748,max_housetype_905L_STATE_FLAT,0.2725227578385549
294,min_lastupdate_1112D,0.2622079692523336
732,max_empl_industry_691L_TOURISM,0.2524648281091392
461,lastcancelreason_561M_P107_145_100,0.2481069351512538
456,lastapprcommoditycat_1041M_P76_145_175,0.2481069351512538
1026,max_financialinstitution_382M_a91f3bf3,0.24533446800062886
1191,min_purposeofcred_874M_44164129,0.24434431032639342
830,max_classificationofcontr_400M_abc5878e,0.2289782172104287
426,lastapprcommoditycat_1041M_P141_125_135,0.2289782172104287
431,lastapprcommoditycat_1041M_P156_50_173,0.2289782172104287
792,max_safeguarantyflag_411L_False,0.2261845179745429
699,max_contaddr_smempladdr_334L_True,0.22615214942219
587,description_5085714M_nan,0.22323031355037198
593,education_1103M_nan,0.22323031355037198
449,lastapprcommoditycat_1041M_P48_73_87,0.22238826434804038
438,lastapprcommoditycat_1041M_P187_118_47,0.2175898448235017
1073,max_financialinstitution_382M_e247e3d7,0.21262205493622044
458,lastapprcommoditycat_1041M_P98_19_172,0.21262205493622044
660,max_rejectreasonclient_4145042M_P19_25_34,0.21262205493622044
714,max_empl_industry_691L_ART_MEDIA,0.2048892188220821
1069,max_financialinstitution_382M_dcd48f0a,0.20451234225124593
598,max_credacc_status_367L_AC,0.20358009614508157
550,lastrejectreason_759M_P84_14_61,0.2029819658331028
233,min_openingdate_857D,0.19749715806498522
489,lastcancelreason_561M_P195_62_170,0.19626598117728866
647,max_rejectreason_755M_P121_60_164,0.19626598117728866
610,max_education_1138M_P157_18_172,0.19599037155419907
561,lastrejectreasonclient_4145040M_P53_10_15,0.19599037155419907
752,max_incometype_1044T_HANDICAPPED_2,0.1931904482701922
384,mean_pmts_overdue_1140A,0.18955952830629855
744,max_housetype_905L_COOP_FLAT,0.18562740638144182
530,lastcancelreason_561M_P95_76_117,0.17990999593291343
855,max_classificationofcontr_400M_dd6cd7aa,0.17990999593291343
1083,max_financialinstitution_382M_ec7f1260,0.17990999593291343
1163,max_financialinstitution_591M_ff9dc6d9,0.17990999593291343
1173,min_purposeofcred_426M_7a7d6960,0.17990999593291343
999,max_contractst_964M_fd624e63,0.17990999593291343
1168,min_purposeofcred_426M_4039fc25,0.17990999593291343
745,max_housetype_905L_FLAT,0.17907187623399334
446,lastapprcommoditycat_1041M_P33_29_177,0.17846272086734302
1027,max_financialinstitution_382M_a97f66ac,0.16757877367761329
150,sum_credacc_transactions_402L,0.16698336577352066
962,max_contractst_964M_d25ebcc6,0.16355409920237632
837,max_classificationofcontr_400M_be7b251d,0.16355409920237632
1167,min_purposeofcred_426M_28bfa260,0.16355409920237632
475,lastcancelreason_561M_P145_77_120,0.16355409920237632
957,max_contractst_964M_cae5106c,0.16355409920237632
879,max_classificationofcontr_400M_fb8921dc,0.16355409920237632
1115,max_financialinstitution_591M_a97f66ac,0.16331573154000997
1237,max_subjectroles_name_838M_be4fd70b,0.16120147941513457
533,lastcancelreason_561M_P9_82_76,0.14719829098495668
1106,max_financialinstitution_382M_ff9dc6d9,0.14719829098495668
907,max_contractst_964M_88c858bd,0.14719829098495668
1189,min_purposeofcred_874M_28bfa260,0.14719829098495668
807,max_empls_economicalst_849M_P22_131_138,0.14719829098495668
954,max_contractst_964M_c9b445db,0.14719829098495668
462,lastcancelreason_561M_P116_157_162,0.14719829098495668
881,max_classificationofcontr_400M_fd17005c,0.14719829098495668
301,max_monthlyinstlamount_332A,0.1431192762315229
799,max_type_25L_PHONE,0.1408745312586936
758,max_incometype_1044T_SELFEMPLOYED,0.1392075553597333
1165,min_purposeofcred_426M_164ee705,0.13740263153954468
1104,max_financialinstitution_382M_fd828f59,0.13522205699145526
479,lastcancelreason_561M_P169_159_178,0.1345557881422469
894,max_contractst_545M_fd624e63,0.13084257127993787
434,lastapprcommoditycat_1041M_P175_82_175,0.13084257127993787
981,max_contractst_964M_ec24545f,0.13084257127993787
977,max_contractst_964M_e598ef69,0.13084257127993787
973,max_contractst_964M_e16cd716,0.13084257127993787
1197,min_purposeofcred_874M_89ccf2a3,0.13084257127993787
828,max_classificationofcontr_400M_a55475b1,0.12875512454307642
302,sum_monthlyinstlamount_332A,0.1285765627701824
300,mean_monthlyinstlamount_332A,0.12692437243504712
1193,min_purposeofcred_874M_5d1b0cdd,0.12114107367036728
683,max_conts_type_509L_PHONE,0.11999702248184421
339,mean_periodicityofpmts_1102L,0.11804972592555582
1077,max_financialinstitution_382M_e7b2248f,0.11448694008660298
501,lastcancelreason_561M_P23_22_19,0.11448694008660298
1049,max_financialinstitution_382M_cb830fec,0.11448694008660298
675,max_status_219L_P,0.11448694008660298
1107,max_financialinstitution_382M_ffafd794,0.11448694008660298
694,max_credacc_cards_status_52L_UNCONFIRMED,0.11448694008660298
607,max_credtype_587L_REL,0.10220270515970968
636,max_isdebitcard_527L_nan,0.1022027051492999
633,min_isdebitcard_527L_nan,0.1022027051492999
901,max_contractst_964M_8260bab9,0.10147789746612064
677,max_status_219L_R,0.09813139740423008
529,lastcancelreason_561M_P94_154_184,0.09813139740423008
832,max_classificationofcontr_400M_ada1729d,0.09813139740423008
1195,min_purposeofcred_874M_7a7d6960,0.09813139740423008
499,lastcancelreason_561M_P205_40_167,0.09813139740423008
721,max_empl_industry_691L_HEALTH,0.09550584775268789
549,lastrejectreason_759M_P69_72_116,0.09371019047664436
778,max_relationshiptoclient_642T_GRAND_PARENT,0.08949130158817069
767,max_relationshiptoclient_415T_GRAND_PARENT,0.08949130158817069
485,lastcancelreason_561M_P185_66_167,0.08722855259827154
169,max_dtlastpmtallstes_3545839D,0.08679108926976625
1097,max_financialinstitution_382M_f43b5c1d,0.08177594323210374
476,lastcancelreason_561M_P150_0_30,0.08177594323210374
662,max_rejectreasonclient_4145042M_P53_10_15,0.08177594323210374
713,max_empl_industry_691L_ARMY_POLICE,0.08177594323210374
1161,max_financialinstitution_591M_fd828f59,0.08177594323210374
1170,min_purposeofcred_426M_5d1b0cdd,0.08177594323210374
1030,max_financialinstitution_382M_acc27a10,0.08177594323210374
963,max_contractst_964M_d3a8590c,0.08177594323210374
934,max_contractst_964M_b5aee7a5,0.08177594323210374
872,max_classificationofcontr_400M_f276ba7e,0.08177594323210374
839,max_classificationofcontr_400M_bfd4245f,0.08177594323210374
1116,max_financialinstitution_591M_ab7b0f68,0.08177594323210374
1200,min_purposeofcred_874M_a55475b1,0.07655141225853071
1175,min_purposeofcred_426M_96a8fdfe,0.07523767021557973
1230,min_subjectroles_name_838M_15f04f45,0.06682003322673956
560,lastrejectreasonclient_4145040M_P52_67_90,0.06551503045286225
867,max_classificationofcontr_400M_ec433ade,0.0654205775695027
652,max_rejectreason_755M_P48_22_32,0.0654205775695027
1011,max_financialinstitution_382M_P40_25_35,0.0654205775695027
1184,max_purposeofcred_426M_e8f3b178,0.0654205775695027
1102,max_financialinstitution_382M_fa0f756a,0.0654205775695027
1128,max_financialinstitution_591M_cb4bf9b5,0.0654205775695027
506,lastcancelreason_561M_P32_86_86,0.0654205775695027
578,lastst_736L_R,0.0654205775695027
576,lastst_736L_P,0.0654205775695027
841,max_classificationofcontr_400M_c7d7bf98,0.0654205775695027
802,max_type_25L_WHATSAPP,0.0654205775695027
816,max_classificationofcontr_400M_00135d9c,0.0654205775695027
986,max_contractst_964M_f1e73b19,0.0654205775695027
364,max_totaldebtoverduevalue_718A,0.06417416103617304
363,mean_totaldebtoverduevalue_718A,0.0641448385373864
362,min_totaldebtoverduevalue_718A,0.064115205864298
505,lastcancelreason_561M_P32_163_96,0.06193941468998238
829,max_classificationofcontr_400M_a6f21017,0.049065300415710875
1209,max_purposeofcred_874M_b1285059,0.049065300415710875
1033,max_financialinstitution_382M_b2145224,0.049065300415710875
806,max_empls_economicalst_849M_P164_110_33,0.049065300415710875
419,lastapprcommoditycat_1041M_P117_143_46,0.049065300415710875
1207,max_purposeofcred_874M_P188_162_121,0.049065300415710875
1145,max_financialinstitution_591M_e2a39b1a,0.049065300415710875
883,max_classificationofcontr_400M_fdfb29c9,0.049065300415710875
480,lastcancelreason_561M_P16_126_23,0.049065300415710875
503,lastcancelreason_561M_P28_71_137,0.049065300415710875
974,max_contractst_964M_e2e7d341,0.049065300415710875
926,max_contractst_964M_ac6dce3c,0.049065300415710875
885,max_classificationofcontr_400M_ff624637,0.049065300415710875
992,max_contractst_964M_f8814d77,0.049065300415710875
984,max_contractst_964M_ef4b2e3c,0.049065300415710875
448,lastapprcommoditycat_1041M_P3_103_80,0.049065300415710875
834,max_classificationofcontr_400M_b321ded3,0.049065300415710875
1063,max_financialinstitution_382M_db36d360,0.049065300415710875
565,lastrejectreasonclient_4145040M_P69_72_116,0.047794112066259005
743,max_housetype_905L_COMPANY_FLAT,0.047459857257438856
1012,max_financialinstitution_382M_P40_52_135,0.0464928670523581
183,mean_mainoccupationinc_437A,0.04316008868942958
261,max_credlmt_935A,0.041887318223810345
686,max_conts_type_509L_SECONDARY_MOBILE,0.04120141292481466
684,max_conts_type_509L_PRIMARY_EMAIL,0.040996407329491454
1226,max_subjectroles_name_541M_be4fd70b,0.040626361117433965
726,max_empl_industry_691L_MARKETING,0.03935959678513454
427,lastapprcommoditycat_1041M_P143_21_170,0.03923215635761452
996,max_contractst_964M_fc4d11b5,0.03704410071116677
370,max_totaloutstanddebtvalue_668A,0.03682373043717846
532,lastcancelreason_561M_P99_98_113,0.03421605363438351
1142,max_financialinstitution_591M_dc4439a9,0.03271011177000863
1146,max_financialinstitution_591M_e3b74e00,0.03271011177000863
831,max_classificationofcontr_400M_acba4f13,0.03271011177000863
1091,max_financialinstitution_382M_eeea8313,0.03271011177000863
1152,max_financialinstitution_591M_eeea8313,0.03271011177000863
463,lastcancelreason_561M_P118_140_56,0.03271011177000863
1120,max_financialinstitution_591M_b886c08a,0.03271011177000863
813,max_classificationofcontr_13M_be7b251d,0.03271011177000863
808,max_empls_economicalst_849M_P28_32_178,0.03271011177000863
942,max_contractst_964M_be9e15dc,0.03271011177000863
1182,max_purposeofcred_426M_b1285059,0.03271011177000863
944,max_contractst_964M_c0187f17,0.03271011177000863
1190,min_purposeofcred_874M_4039fc25,0.03271011177000863
1031,max_financialinstitution_382M_af6f3698,0.03271011177000863
913,max_contractst_964M_99b37d4f,0.03271011177000863
899,max_contractst_964M_7640edc3,0.03271011177000863
447,lastapprcommoditycat_1041M_P38_69_128,0.03271011177000863
1017,max_financialinstitution_382M_a24a91cd,0.03271011177000863
653,max_rejectreason_755M_P53_10_15,0.03271011177000863
960,max_contractst_964M_ce70bd69,0.03271011177000863
436,lastapprcommoditycat_1041M_P181_140_94,0.03271011177000863
1023,max_financialinstitution_382M_a7156135,0.03271011177000863
654,max_rejectreason_755M_P5_143_178,0.03271011177000863
1218,min_subjectroles_name_541M_1d94eac1,0.03271011177000863
870,max_classificationofcontr_400M_f0517bc9,0.03271011177000863
655,max_rejectreason_755M_P84_14_61,0.03271011177000863
1216,min_subjectroles_name_541M_0c42a10e,0.03271011177000863
1029,max_financialinstitution_382M_ab7b0f68,0.03271011177000863
932,max_contractst_964M_b467764d,0.03271011177000863
1204,max_purposeofcred_874M_7ff464db,0.03271011177000863
925,max_contractst_964M_ac49f7e1,0.03271011177000863
861,max_classificationofcontr_400M_e5957374,0.03271011177000863
941,max_contractst_964M_be389466,0.03271011177000863
854,max_classificationofcontr_400M_dbf17744,0.03271011177000863
971,max_contractst_964M_df63fbf8,0.03271011177000863
953,max_contractst_964M_c9a96633,0.03271011177000863
421,lastapprcommoditycat_1041M_P126_161_96,0.03271011177000863
843,max_classificationofcontr_400M_ca07e0d6,0.03271011177000863
1231,min_subjectroles_name_838M_71ddaa88,0.03271011177000863
909,max_contractst_964M_89c856d6,0.03271011177000863
1213,max_purposeofcred_874M_e8f3b178,0.03204761009528456
369,mean_totaloutstanddebtvalue_668A,0.030276565126020196
731,max_empl_industry_691L_RECRUITMENT,0.028410012270664798
931,max_contractst_964M_b3d257d6,0.02561222987309636
1096,max_financialinstitution_382M_f27ed340,0.023244055060185172
454,lastapprcommoditycat_1041M_P65_94_74,0.021278955443345057
1080,max_financialinstitution_382M_e9bfdb5c,0.020617839736827716
989,max_contractst_964M_f42e087b,0.019678455643864622
1127,max_financialinstitution_591M_c278975a,0.019678455643864622
368,min_totaloutstanddebtvalue_668A,0.018510557977431265
359,min_totaldebtoverduevalue_178A,0.018492010492696716
443,lastapprcommoditycat_1041M_P216_109_183,0.017502279974984408
282,mean_debtoverdue_47A,0.017008605635262335
281,min_debtoverdue_47A,0.017008605635262335
284,sum_debtoverdue_47A,0.017008605635262335
283,max_debtoverdue_47A,0.017008605635262335
361,max_totaldebtoverduevalue_178A,0.01678149021124066
1154,max_financialinstitution_591M_f0606fbf,0.01635501163167786
1149,max_financialinstitution_591M_eb77f8bf,0.01635501163167786
1147,max_financialinstitution_591M_e7b2248f,0.01635501163167786
557,lastrejectreasonclient_4145040M_P203_151_99,0.01635501163167786
1229,min_subjectroles_name_838M_0c42a10e,0.01635501163167786
1219,min_subjectroles_name_541M_71ddaa88,0.01635501163167786
558,lastrejectreasonclient_4145040M_P204_22_168,0.01635501163167786
515,lastcancelreason_561M_P60_96_75,0.01635501163167786
517,lastcancelreason_561M_P65_58_157,0.01635501163167786
518,lastcancelreason_561M_P68_132_180,0.01635501163167786
527,lastcancelreason_561M_P91_110_150,0.01635501163167786
661,max_rejectreasonclient_4145042M_P30_86_84,0.01635501163167786
1205,max_purposeofcred_874M_89ccf2a3,0.01635501163167786
664,max_rejectreasonclient_4145042M_P69_72_116,0.01635501163167786
1202,max_purposeofcred_874M_5065c2b8,0.01635501163167786
498,lastcancelreason_561M_P204_22_168,0.01635501163167786
1199,min_purposeofcred_874M_P188_162_121,0.01635501163167786
1101,max_financialinstitution_382M_fa038fc4,0.01635501163167786
1143,max_financialinstitution_591M_dcd48f0a,0.01635501163167786
1039,max_financialinstitution_382M_bb719b97,0.01635501163167786
890,max_contractst_545M_ba680094,0.01635501163167786
1014,max_financialinstitution_382M_P8_56_129,0.01635501163167786
878,max_classificationofcontr_400M_fac27da4,0.01635501163167786
875,max_classificationofcontr_400M_f6c40125,0.01635501163167786
453,lastapprcommoditycat_1041M_P58_25_91,0.01635501163167786
1035,max_financialinstitution_382M_b311e4b2,0.01635501163167786
1037,max_financialinstitution_382M_b73034ed,0.01635501163167786
866,max_classificationofcontr_400M_ec2a5430,0.01635501163167786
906,max_contractst_964M_885ce291,0.01635501163167786
864,max_classificationofcontr_400M_e6fe1970,0.01635501163167786
1043,max_financialinstitution_382M_c183e3d7,0.01635501163167786
857,max_classificationofcontr_400M_df310bb5,0.01635501163167786
1047,max_financialinstitution_382M_cad704d3,0.01635501163167786
1048,max_financialinstitution_382M_cb4bf9b5,0.01635501163167786
853,max_classificationofcontr_400M_db56c4a9,0.01635501163167786
849,max_classificationofcontr_400M_d390ec0f,0.01635501163167786
900,max_contractst_964M_823dcc3b,0.01635501163167786
998,max_contractst_964M_fc918d85,0.01635501163167786
836,max_classificationofcontr_400M_bdebff11,0.01635501163167786
927,max_contractst_964M_ad6778a7,0.01635501163167786
