,feature,split,gain
193,mean_amount_4917619A,779.4,13525.194727635384
157,mean_dtlastpmtallstes_3545839D,990.2,13569.567044048385
171,min_approvaldate_319D,738.8,13656.510547742433
142,max_num_group1,763.8,13730.168634350597
175,min_dtlastpmtallstes_3545839D,978.6,13773.202445469238
156,mean_dtlastpmt_581D,1000.4,13829.006308778491
203,min_processingdate_168D,717.6,14346.845607711375
147,mean_credamount_590A,1260.2,14646.253214484454
174,min_dtlastpmt_581D,1003.8,14708.34274565354
104,numinsttopaygrest_4493213L,432.2,14864.472061957418
48,homephncnt_628L,504.6,15196.269363218546
18,secondquarter_766L,1165.2,15354.759474914521
202,min_pmtamount_36A,1014.8,15508.355157789028
123,max_credacc_actualbalance_314A,650.6,15509.362543579191
131,max_creationdate_885D,937.8,16071.091700641438
43,downpmt_116A,848.0,16134.461853194982
10,fourthquarter_440L,1226.2,16166.49622258395
153,mean_approvaldate_319D,738.0,16217.624891457333
144,mean_credacc_actualbalance_314A,704.8,16223.419029839337
199,mean_pmtamount_36A,878.0,16343.434810191393
129,max_outstandingdebt_522A,636.8,16357.69026416093
98,numinstpaidearly_338L,632.6,16459.93839106858
191,max_amount_4917619A,786.4,16548.599809296244
53,lastapplicationdate_877D,955.4,16552.38398597464
173,min_dateactivated_425D,725.2,16705.586845161764
139,max_familystate_726L,429.2,16900.46464524269
78,maxdpdtolerance_374P,833.4,16923.493467281012
122,max_annuity_853A,1347.8,16992.312776508137
168,min_credamount_590A,1264.4,17446.894762793185
197,max_pmtamount_36A,880.4,17530.198828430475
79,maxinstallast24m_3658928A,1430.4,17552.13243074715
150,mean_mainoccupationinc_437A,1406.8,17748.440369739663
140,max_pmtnum_8L,639.4,17876.06702638194
32,cntincpaycont9m_3716944L,1039.6,18136.396580407767
209,max_familystate_447L,466.2,18137.31857638359
83,mindbddpdlast24m_3658935P,1260.6,18222.76837880686
141,max_tenor_203L,638.0,18580.72348355651
25,avgdbdtollast24m_4525197P,720.0,18586.635002344847
0,month_decision,1115.6,18703.49538582545
106,numinstunpaidmaxest_4493212L,458.0,18708.187375944854
59,lastrejectcommoditycat_161M,1276.2,18875.800535583498
134,max_dtlastpmtallstes_3545839D,1316.0,18881.26147959195
42,disbursementtype_67L,385.4,18896.57074600458
60,lastrejectcredamount_222A,1436.2,18913.536479147522
169,min_mainoccupationinc_437A,1282.6,18960.342929979786
195,min_amount_4917619A,1153.6,19387.672597280143
159,mean_firstnonzeroinstldate_307D,1104.4,19578.58940252643
221,min_familystate_447L,474.0,19789.798859930037
65,maxannuity_159A,1479.6,20024.775250744075
40,daysoverduetolerancedd_3976961L,895.6,20274.17444914989
19,thirdquarter_1082L,1262.4,21083.376343148946
183,min_inittransactioncode_279L,492.6,21261.123121231794
181,min_credtype_587L,439.4,21528.119301533698
54,lastapprcommoditycat_1041M,1362.6,22915.364141225815
69,maxdebt4_972A,1064.6,23273.55239699334
35,credtype_322L,471.0,23969.066157203913
1,weekday_decision,882.4,24018.660380622743
133,max_dtlastpmt_581D,1590.8,24604.786483953147
118,totaldebt_9A,699.8,24673.917816153167
37,datefirstoffer_1144D,1241.2,24772.452499096376
29,avgmaxdpdlast9m_3716943P,631.0,24989.558449071646
190,min_amount_4527230A,1392.2,25111.6629462298
76,maxdpdlast6m_474P,467.2,25417.588661307098
143,mean_annuity_853A,1453.4,25474.958857708563
24,avgdbddpdlast3m_4187120P,1158.4,25838.99211300174
201,mean_num_group1_5,502.4,25976.094190868735
36,currdebt_22A,826.2,26910.379160726072
20,amtinstpaidbefduel24m_4187115A,1092.2,27352.433603332007
75,maxdpdlast3m_392P,659.8,27526.292082755266
14,pmtaverage_4527227A,1134.0,27644.44600701332
