feature,gain,split
cntincpaycont9m_3716944L,0.0,0.0
cntpmts24_3658933L,0.0,0.0
lastrejectcommodtypec_5251769M,0.0,0.0
lastrejectcommoditycat_161M,0.0,0.0
lastdelinqdate_224D,0.0,0.0
lastcancelreason_561M,0.0,0.0
lastapprcommoditycat_1041M,0.0,0.0
lastactivateddate_801D,0.0,0.0
isdebitcard_729L,0.0,0.0
currdebt_22A,0.0,0.0
lastst_736L,0.0,0.0
currdebtcredtyperange_828A,0.0,0.0
datefirstoffer_1144D,0.0,0.0
datelastinstal40dpd_247D,0.0,0.0
datelastunpaid_3546854D,0.0,0.0
firstdatedue_489D,0.0,0.0
firstclxcampaign_1125D,0.0,0.0
daysoverduetolerancedd_3976961L,0.0,0.0
education_1103M,0.0,0.0
dtlastpmtallstes_4499206D,0.0,0.0
downpmt_116A,0.0,0.0
lastrejectreasonclient_4145040M,0.0,0.0
clientscnt_493L,0.0,0.0
numinstmatpaidtearly2d_4499204L,0.0,0.0
mindbddpdlast24m_3658935P,0.0,0.0
numinstlswithoutdpd_562L,0.0,0.0
numinstlswithdpd5_4187116L,0.0,0.0
numinstls_657L,0.0,0.0
numincomingpmts_3546848L,0.0,0.0
clientscnt3m_3712950L,0.0,0.0
clientscnt6m_3712949L,0.0,0.0
numactiverelcontr_750L,0.0,0.0
numactivecredschannel_414L,0.0,0.0
monthsannuity_845L,0.0,0.0
mindbdtollast24m_4525191P,0.0,0.0
mean_cancelreason_3545846M,0.0,0.0
clientscnt_360L,0.0,0.0
maxpmtlast3m_4525190A,0.0,0.0
maxoutstandbalancel12m_4187113A,0.0,0.0
maxlnamtstart6m_4525199A,0.0,0.0
maxinstallast24m_3658928A,0.0,0.0
maxdpdinstlnum_3546846P,0.0,0.0
maxdpdinstldate_3546855D,0.0,0.0
clientscnt_257L,0.0,0.0
maxdbddpdtollast6m_4187119P,0.0,0.0
maxdbddpdtollast12m_3658940P,0.0,0.0
maxdbddpdlast1m_3658939P,0.0,0.0
validfrom_1069D,0.0,0.0
